node_zero_based,node_dimacs,color
0,1,3
1,2,30
2,3,15
3,4,26
4,5,18
5,6,33
6,7,9
7,8,32
8,9,11
9,10,0
10,11,29
11,12,23
12,13,28
13,14,2
14,15,34
15,16,10
16,17,34
17,18,2
18,19,27
19,20,32
20,21,28
21,22,1
22,23,11
23,24,9
24,25,15
25,26,22
26,27,26
27,28,30
28,29,25
29,30,23
30,31,3
31,32,29
32,33,19
33,34,20
34,35,4
35,36,4
36,37,24
37,38,6
38,39,17
39,40,24
40,41,24
41,42,33
42,43,24
43,44,4
44,45,4
45,46,20
46,47,13
47,48,24
48,49,14
49,50,6
50,51,27
51,52,21
52,53,25
53,54,20
54,55,13
55,56,12
56,57,24
57,58,21
58,59,24
59,60,10
60,61,1
61,62,24
62,63,4
63,64,8
64,65,16
65,66,8
66,67,22
67,68,24
68,69,33
69,70,5
70,71,12
71,72,24
72,73,6
73,74,20
74,75,4
75,76,4
76,77,14
77,78,4
78,79,7
79,80,24
80,81,17
81,82,31
82,83,14
83,84,20
84,85,6
85,86,21
86,87,5
87,88,19
88,89,13
89,90,8
90,91,24
91,92,7
92,93,18
93,94,24
94,95,16
95,96,0
96,97,24
97,98,24
98,99,33
99,100,24
100,101,13
101,102,13
102,103,31
103,104,7
104,105,13
105,106,13
106,107,17
107,108,4
108,109,24
109,110,4
110,111,7
111,112,19
112,113,24
113,114,20
114,115,24
115,116,19
116,117,12
117,118,24
118,119,13
119,120,17
120,121,24
121,122,13
122,123,4
123,124,33
124,125,31
125,126,19
126,127,21
127,128,20
128,129,24
129,130,24
130,131,31
131,132,13
132,133,17
133,134,12
134,135,13
135,136,24
136,137,5
137,138,13
138,139,13
139,140,4
140,141,24
141,142,7
142,143,31
143,144,7
144,145,12
145,146,19
146,147,19
147,148,13
148,149,17
149,150,25
150,151,17
151,152,21
152,153,12
153,154,13
154,155,19
155,156,13
156,157,19
157,158,11
158,159,24
159,160,8
160,161,24
161,162,4
162,163,4
163,164,24
164,165,13
165,166,7
166,167,17
167,168,33
168,169,4
169,170,12
170,171,21
171,172,17
172,173,16
173,174,31
174,175,24
175,176,33
176,177,24
177,178,7
178,179,8
179,180,24
180,181,24
181,182,24
182,183,33
183,184,21
184,185,8
185,186,7
