graph,num_colors,num_edges,best_conflicts,best_raw_conflicts,best_conflict_rate,best_raw_conflict_rate,mean_conflicts,std_conflicts,mean_conflict_rate,std_conflict_rate,success_rate,best_seed,num_runs
g12,20,3973,23,52,0.005789076264787314,0.013088346337780015,23.0,0.0,0.005789076264787314,0.0,0.0,0,2
g12,21,3973,20,50,0.005033979360684621,0.012584948401711553,22.0,2.0,0.0055373772967530835,0.0005033979360684624,0.0,0,2
g12,22,3973,21,48,0.005285678328718852,0.012081550465643092,21.5,0.5,0.005411527812735968,0.0001258494840171158,0.0,1,2
g12,23,3973,19,43,0.00478228039265039,0.010823055625471936,19.5,0.5,0.004908129876667506,0.00012584948401711538,0.0,0,2
g12,24,3973,17,39,0.004278882456581928,0.009816259753335011,17.0,0.0,0.004278882456581928,0.0,0.0,0,2
g12,25,3973,15,35,0.003775484520513466,0.008809463881198087,16.0,1.0,0.004027183488547697,0.00025169896803423097,0.0,1,2
g12,26,3973,14,45,0.003523785552479235,0.011326453561540398,15.5,1.5,0.0039013340045305814,0.00037754845205134656,0.0,1,2
g12,27,3973,13,38,0.0032720865844450037,0.00956456078530078,14.0,1.0,0.003523785552479235,0.0002516989680342312,0.0,1,2
g12,28,3973,12,42,0.003020387616410773,0.010571356657437704,13.0,1.0,0.003272086584445004,0.00025169896803423097,0.0,1,2
g12,29,3973,8,32,0.0020135917442738486,0.008054366977095394,10.5,2.5,0.0026428391643594264,0.0006292474200855775,0.0,1,2
g12,30,3973,6,29,0.0015101938082053865,0.0072992700729927005,9.0,3.0,0.00226529071230808,0.0007550969041026932,0.0,1,2
g12,31,3973,6,29,0.0015101938082053865,0.0072992700729927005,7.0,1.0,0.0017618927762396174,0.0002516989680342311,0.0,1,2
g12,32,3973,6,28,0.0015101938082053865,0.00704757110495847,7.0,1.0,0.0017618927762396174,0.0002516989680342311,0.0,1,2
g12,33,3973,3,27,0.0007550969041026932,0.006795872136924239,3.5,0.5,0.0008809463881198087,0.00012584948401711554,0.0,1,2
g12,34,3973,4,31,0.0010067958721369243,0.007802668009061163,4.5,0.5,0.0011326453561540397,0.00012584948401711548,0.0,1,2
g12,35,3973,2,28,0.0005033979360684622,0.00704757110495847,2.0,0.0,0.0005033979360684622,0.0,0.0,1,2
g12,36,3973,0,25,0.0,0.006292474200855777,0.0,0.0,0.0,0.0,1.0,1,2
g6,8,1056,25,48,0.023674242424242424,0.045454545454545456,25.5,0.5,0.024147727272727272,0.00047348484848484806,0.0,0,2
g6,9,1056,10,38,0.00946969696969697,0.03598484848484849,11.5,1.5,0.010890151515151516,0.001420454545454545,0.0,0,2
g6,10,1056,5,36,0.004734848484848485,0.03409090909090909,5.5,0.5,0.005208333333333334,0.0004734848484848485,0.0,1,2
g6,11,1056,0,17,0.0,0.016098484848484848,0.5,0.5,0.0004734848484848485,0.0004734848484848485,0.5,0,2
g6,12,1056,0,18,0.0,0.017045454545454544,0.0,0.0,0.0,0.0,1.0,0,2
