node_zero_based,node_dimacs,color
0,1,3
1,2,5
2,3,2
3,4,9
4,5,0
5,6,1
6,7,8
7,8,6
8,9,10
9,10,8
10,11,0
11,12,7
12,13,6
13,14,5
14,15,4
15,16,3
16,17,9
17,18,1
18,19,10
19,20,4
20,21,9
21,22,8
22,23,7
23,24,2
24,25,5
25,26,0
26,27,3
27,28,1
28,29,3
29,30,0
30,31,2
31,32,9
32,33,8
33,34,4
34,35,7
35,36,6
36,37,5
37,38,2
38,39,6
39,40,1
40,41,4
41,42,3
42,43,0
43,44,10
44,45,9
45,46,7
46,47,9
47,48,10
48,49,0
49,50,6
50,51,5
51,52,1
52,53,3
53,54,8
54,55,0
55,56,8
56,57,3
57,58,7
58,59,2
59,60,9
60,61,10
61,62,4
62,63,5
63,64,4
64,65,6
65,66,5
66,67,10
67,68,8
68,69,7
69,70,2
70,71,1
71,72,0
72,73,2
73,74,10
74,75,8
75,76,4
76,77,1
77,78,0
78,79,9
79,80,5
80,81,7
